Disciplina;Creditos;Horario;Professor;Vagas;Inscritos;Sobrando
DPC0444 (20262DI) - Processo Penal e Tecnologia (Período ideal: 8);2;qui 09:15 11:00 | qui 09:15 11:00;(R) Maurício Zanoide de Moraes / (R) Marta Cristina Cury Saad Gimenes;11;10;1
DPC0444 (20262NO) - Processo Penal e Tecnologia (Período ideal: 8);2;qui 18:20 19:55;(R) Marta Cristina Cury Saad Gimenes;32;38;-6
DPC0451 (20262DI) - Processo Civil e Tecnologia I (Período ideal: 7);4;sex 09:15 12:50 | sex 09:15 12:50;(R) Ricardo de Barros Leonel / (R) Marcelo José Magalhães Bonizzi;8;17;-9
DPC0451 (20262NO) - Processo Civil e Tecnologia I (Período ideal: 7);4;qui 20:00 23:15 | qui 20:00 23:15;(R) Ricardo de Barros Leonel / (R) Marcelo José Magalhães Bonizzi;32;111;-79
DPC0520 (20262DI) - Novas Tendências do Direito Processual (Período ideal: 10);2;qui 09:15 11:00 | qui 09:15 11:00 | qui 09:15 11:00;Oreste Nestor de Souza Laspro / Flávio Luiz Yarshell / Carlos Alberto Carmona;5;5;0
DPC0520 (20262NO) - Novas Tendências do Direito Processual (Período ideal: 10);2;seg 20:00 21:35;Marcelo José Magalhães Bonizzi;35;82;-47
DPC0524 (20262DI) - Poder Público em Juízo (Período ideal: 10);4;qui 09:15 12:50;Susana Henriques da Costa;12;14;-2
DPC0526 (20262NO) - Procedimentos Especiais no Âmbito Civil e Empresarial II: Legislação Extravagante (Período ideal: 10);4;qua 18:20 21:35;Elie Pierre Eid;16;32;-16
DPC0534 (20262DI) - Direito Processual Penal VI: Processo Penal e o Direito Internacional dos Direitos Humanos (Período ideal: 10);2;qui 11:15 12:50;Marta Cristina Cury Saad Gimenes;10;9;1
DPC0536 (20262DI) - Cooperação jurídica internacional em matéria penal (Período ideal: 10);2;qua 07:25 09:00;Andrey Borges de Mendonça;8;17;-9
DPC0538 (20262NO) - Ações Autônomas de impugnação no processo penal (Período ideal: 10);2;qui 20:00 21:35 | qui 20:00 21:35;Vinicius Gomes de Vasconcellos / Andrey Borges de Mendonça;31;28;3
DPM0114 (20262DI) - Introdução ao Pensamento Jurídico-Penal (Período ideal: 2);2;qua 11:15 12:50 | qua 11:15 12:50;Jéssica Raquel Sponchiado / (R) Alamiro Velludo Salvador Netto;24;43;-19
DPM0114 (20262NO) - Introdução ao Pensamento Jurídico-Penal (Período ideal: 2);2;qua 18:20 19:55 | qua 18:20 19:55;Jéssica Raquel Sponchiado / (R) Alamiro Velludo Salvador Netto;96;117;-21
DPM0118 (20262DI) - Criminologia da Repressão (Período ideal: 2);2;qui 11:15 12:50;(R) Mauricio Stegemann Dieter;24;25;-1
DPM0118 (20262NO) - Criminologia da Repressão (Período ideal: 2);2;qui 18:20 19:55;(R) Mauricio Stegemann Dieter;96;118;-22
DPM0218 (20262TA) - Criminologia Crítica II (Período ideal: 4);2;qui 14:40 16:15;(R) Mauricio Stegemann Dieter;65;29;36
DPM0220 (20262TA) - Critica Criminológica ao Direito Penal (Período ideal: 4);2;qui 16:20 17:55;(R) Mauricio Stegemann Dieter;65;50;15
DPM0222 (20262DI) - Introdução à Pesquisa em Direito Penal e Criminologia (Período ideal: 4);2;qui 11:15 12:50;(R) Patrick Lemos Cacicedo;24;22;2
DPM0222 (20262NO) - Introdução à Pesquisa em Direito Penal e Criminologia (Período ideal: 4);2;qui 18:20 19:55;(R) Patrick Lemos Cacicedo;96;91;5
DPM0318 (20262NO) - Medicina Forense II (Período ideal: 6);2;sex 18:20 19:55;Leandro Sarcedo;51;60;-9
DPM0318 (20262TA) - Medicina Forense II (Período ideal: 6);2;qua 13:50 15:25;Roberto Augusto de Carvalho Campos;60;42;18
DPM0320 (20262DI) - Segurança Pública e Preservação dos Direitos Fundamentais (Período ideal: 6);2;sex 11:15 12:50 | sex 09:15 11:00 | qui 11:15 12:50 | qui 09:15 11:00 | qua 11:15 12:50 | qua 09:15 11:00 | ter 11:15 12:50 | ter 09:15 11:00 | seg 11:15 12:50 | seg 09:15 11:00;(R) Janaina Conceição Paschoal;12;1;11
DPM0320 (20262TA) - Segurança Pública e Preservação dos Direitos Fundamentais (Período ideal: 6);2;sex 16:20 17:55 | sex 14:40 16:15 | qui 16:20 17:55 | qui 14:40 16:15 | qua 16:20 17:55 | qua 14:40 16:15 | ter 16:20 17:55 | ter 14:40 16:15 | seg 16:20 17:55 | seg 14:40 16:15;(R) Janaina Conceição Paschoal;60;3;57
DPM0322 (20262DI) - Política Criminal da Pós-Modernidade (Período ideal: 6);2;qui 09:15 11:00;Patrick Lemos Cacicedo;12;19;-7
DPM0322 (20262NO) - Política Criminal da Pós-Modernidade (Período ideal: 6);2;qui 20:00 21:35;Patrick Lemos Cacicedo;46;87;-41
DPM0324 (20262DI) - Direito Penal II (Parte Especial) (Período ideal: 6);4;sex 09:15 12:50 | sex 09:15 12:50;(R) Renato de Mello Jorge Silveira / (R) Luciano Anderson de Souza;12;22;-10
DPM0324 (20262NO) - Direito Penal II (Parte Especial) (Período ideal: 6);4;sex 18:20 21:35 | sex 18:20 21:35 | sex 18:20 21:35 | sex 18:20 21:35;Pierpaolo Cruz Bottini / (R) Renato de Mello Jorge Silveira / (R) Luciano Anderson de Souza / (R) Helena Regina Lobo da Costa;50;82;-32
DPM0420 (20262DI) - Legislação Penal Especial (Período ideal: 8);2;ter 07:25 09:00 | ter 07:25 09:00;Renato de Mello Jorge Silveira / Luciano Anderson de Souza;12;13;-1
DPM0420 (20262NO) - Legislação Penal Especial (Período ideal: 8);2;qui 20:00 21:35 | qui 20:00 21:35 | qui 20:00 21:35;Pierpaolo Cruz Bottini / Luciano Anderson de Souza / Helena Regina Lobo da Costa;48;61;-13
DPM0426 (20262TA) - Direito Penal e Gênero (Período ideal: 8);2;ter 16:20 17:55;(R) Mariângela Gama de Magalhães Gomes;120;104;16
DPM0524 (20262DI) - Biodireito (Período ideal: 10);2;qua 09:15 11:00;(R) Roberto Augusto de Carvalho Campos;8;14;-6
DPM0524 (20262NO) - Biodireito (Período ideal: 10);2;sex 20:00 21:35;Leandro Sarcedo;50;62;-12
DPM0526 (20262DI) - Direito Penal Econômico (Período ideal: 10);2;ter 07:25 09:00;(R) Helena Regina Lobo da Costa;9;10;-1
